Id;Name; Latitude ; Longitude ;Height (m);Active; AirPreasureStation ;link
104580;Mora A; 60.96 ; 14.50 ;195.417;Ja; 9-104580-Mora_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/104580/period/corrected-archive/data.csv
183980;Muodoslompolo; 67.94 ; 23.44 ;240;Nej; 9-183980-Muodoslompolo.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/183980/period/corrected-archive/data.csv
160790;Myrheden; 65.30 ; 20.21 ;250;Nej; 9-160790-Myrheden.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/160790/period/corrected-archive/data.csv
75240;Målilla; 57.40 ; 15.83 ;100;Nej; 9-75240-Målilla.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/75240/period/corrected-archive/data.csv
75250;Målilla A; 57.38 ; 15.80 ;95.667;Ja; 9-75250-Målilla_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/75250/period/corrected-archive/data.csv
81060;Måseskär; 58.09 ; 11.33 ;14;Nej; 9-81060-Måseskär.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/81060/period/corrected-archive/data.csv
133190;Mörsil; 63.32 ; 13.65 ;400;Nej; 9-133190-Mörsil.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/133190/period/corrected-archive/data.csv
191900;Naimakka; 68.68 ; 21.53 ;403;Nej; 9-191900-Naimakka.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/191900/period/corrected-archive/data.csv
172680;Naisheden; 66.53 ; 22.37 ;95;Nej; 9-172680-Naisheden.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/172680/period/corrected-archive/data.csv
170930;Nattavaara A; 66.75 ; 20.92 ;327.631;Ja; 9-170930-Nattavaara_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/170930/period/corrected-archive/data.csv
171920;Nattavaara by; 66.76 ; 21.05 ;350;Nej; 9-171920-Nattavaara_by.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/171920/period/corrected-archive/data.csv
71190;Nidingen A; 57.30 ; 11.90 ;3.785;Ja; 9-71190-Nidingen_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/71190/period/corrected-archive/data.csv
179950;Nikkaluokta; 67.85 ; 19.02 ;470;Nej; 9-179950-Nikkaluokta.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/179950/period/corrected-archive/data.csv
179960;Nikkaluokta A; 67.85 ; 19.02 ;466.765;Ja; 9-179960-Nikkaluokta_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/179960/period/corrected-archive/data.csv
81540;Nordkoster A; 58.89 ; 11.00 ;33.362;Ja; 9-81540-Nordkoster_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/81540/period/corrected-archive/data.csv
139340;Nordmaling; 63.57 ; 19.49 ;4;Nej; 9-139340-Nordmaling.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/139340/period/corrected-archive/data.csv
86360;Norrköping; 58.61 ; 16.21 ;3;Nej; 9-86360-Norrköping.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/86360/period/corrected-archive/data.csv
